WAVE,FLUX,ERR,CONT
1131.02,0.78226101,0.10629371,0.98440268
1131.12,0.82149682,0.081735423,0.98937793
1131.21,0.63188393,0.059910484,0.99435459
1131.31,0.78358446,0.064934872,0.99932004
1131.41,0.83520755,0.066661652,1.0042932
1131.5,0.79607175,0.065338886,1.0092615
1131.6,0.82087003,0.066158825,1.0129907
1131.7,0.73149572,0.063156134,1.0159536
1131.79,0.79101808,0.065025539,1.0189215
1131.89,0.80064141,0.065309528,1.0218897
1131.99,0.71389084,0.062511302,1.0248516
1132.08,0.72661694,0.062979645,1.0278179
1132.18,0.82746228,0.06619599,1.023528
1132.28,0.68912772,0.061579405,1.0178138
1132.37,0.74587856,0.063551109,1.0120979
1132.47,0.80817023,0.065567328,1.0063803
1132.57,0.8029807,0.065296585,1.0006682
1132.67,0.73855953,0.06305455,0.99554405
1132.76,0.94713829,0.06975509,0.99376723
1132.86,0.88690057,0.067928338,0.99198741
1132.96,0.78146187,0.064481423,0.99020727
1133.05,0.67985313,0.061419676,0.98842641
1133.15,0.77297565,0.066725472,0.98664499
1133.25,0.64386665,0.062295766,0.98414749
1133.34,0.51019959,0.056789587,0.98041544
1133.44,0.51011751,0.056158637,0.97668228
1133.54,0.46191008,0.053705653,0.97294313
1133.63,0.46414561,0.052622892,0.96920776
1133.73,0.45699496,0.052400446,0.9654713
1133.83,0.43100538,0.052298409,0.9555517
1133.92,0.49988299,0.057637982,0.94124036
1134.02,0.4418929,0.055699076,0.92690724
1134.12,0.42450789,0.053442684,0.9125698
1134.21,0.44029211,0.053675469,0.89819187
1134.31,0.46374042,0.053322217,0.88384612
1134.41,0.48835546,0.053520234,0.88173117
1134.5,0.57267274,0.05662529,0.8809141
1134.6,0.69819578,0.061120195,0.88009632
1134.7,0.63000066,0.058713995,0.87927731
1134.79,0.74971626,0.062706326,0.87845827
1134.89,0.6860251,0.060707252,0.87982025
1134.99,0.79999928,0.064461661,0.89780669
1135.09,0.91161082,0.067866193,0.915844
1135.18,1.0583668,0.072479368,0.93384101
1135.28,1.0554244,0.073886291,0.95182063
1135.38,1.0651319,0.076182953,0.96980491
1135.47,1.1346519,0.077688189,0.98104944
1135.57,0.99595437,0.071547009,0.98345561
1135.67,1.202746,0.075791699,0.98586223
1135.76,1.01204,0.070573476,0.98827259
1135.86,1.1066786,0.073126627,0.99068057
1135.96,1.0301809,0.070951568,0.99308612
1136.05,1.0108984,0.070844292,0.99077481
1136.15,0.90616696,0.06949551,0.98593436
1136.25,0.92387536,0.069969194,0.98108017
1136.34,0.90262534,0.067616382,0.97623087
1136.44,0.93236529,0.068080895,0.97138014
1136.54,0.88875377,0.066542948,0.96653386
1136.63,0.85191461,0.065588591,0.96761531
1136.73,0.78887481,0.063755946,0.96963255
1136.83,0.89212406,0.067165145,0.97164513
1136.92,0.85312381,0.066912994,0.97365855
1137.02,0.81153817,0.066072175,0.97567724
1137.12,0.77377261,0.06351111,0.97732269
1137.21,0.96272975,0.068699588,0.97732241
1137.31,0.89369657,0.066620642,0.97732195
1137.41,0.87003735,0.065883635,0.97732146
1137.51,0.81225309,0.064033312,0.97732092
1137.6,0.84739199,0.065228386,0.97732055
1137.7,0.88210412,0.06803963,0.97696659
1137.8,0.79588504,0.066338945,0.97607888
1137.89,0.96872271,0.072537557,0.97519098
1137.99,0.88668372,0.067269068,0.97430257
1138.09,0.78619909,0.062699041,0.97341304
1138.18,0.79211235,0.063074731,0.97252426
1138.28,0.83608507,0.064400786,0.96837624
1138.38,0.86584935,0.06533505,0.96219792
1138.47,0.80825561,0.063563253,0.95600985
1138.57,0.82707745,0.064050398,0.94982
1138.67,0.80746071,0.063459933,0.9436361
1138.76,0.64218945,0.057984922,0.93743511
1138.86,0.68700748,0.059476968,0.90889476
1138.96,0.74780841,0.061445071,0.8757707
1139.05,0.78028182,0.062351443,0.84263698
1139.15,0.70127115,0.059899014,0.80953569
1139.25,0.67733654,0.059069564,0.77638324
1139.34,0.7541552,0.061658114,0.74452171
1139.44,0.70675592,0.060135666,0.74082732
1139.54,0.70507941,0.060105419,0.73712704
1139.63,0.82220146,0.063747517,0.73343032
1139.73,0.80358725,0.063127746,0.72973254
1139.83,0.78671234,0.062671246,0.72603368
1139.93,0.77742574,0.062319851,0.73294453
1140.02,0.71456486,0.060285966,0.77027854
1140.12,0.73882737,0.06102495,0.80762302
1140.22,0.82515486,0.063640316,0.84497813
1140.31,0.95491979,0.067447778,0.88234381
1140.41,0.81580042,0.061971345,0.91981451
1140.51,0.8162194,0.049138819,0.93963384
1140.6,0.8376979,0.04958339,0.94677983
1140.7,0.87936784,0.050630049,0.95390972
1140.8,0.79721976,0.048514814,0.96105067
1140.89,0.85479891,0.049983969,0.96819363
1140.99,0.87504632,0.050455004,0.97533861
1141.09,0.73064267,0.046588407,0.94647349
1141.18,0.73953762,0.047169265,0.90808848
1141.28,0.77003884,0.048883266,0.86974081
1141.38,0.65702555,0.046153196,0.83138225
1141.47,0.59957944,0.044285423,0.79306111
1141.57,0.69415592,0.046841843,0.75526864
1141.67,0.7184063,0.047009072,0.794593
1141.76,0.65655889,0.044659197,0.83392832
1141.86,0.60060232,0.043029118,0.87327517
1141.96,0.63830219,0.044063543,0.91268251
1142.05,0.68675813,0.046630315,0.95205133
1142.15,0.6504171,0.045938673,0.98351872
