WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1267.071,0,0,0.98925341,,,
1267.1693,0,0,0.98980672,,,
1267.2676,0,0,0.99036013,,,
1267.3659,0,0,0.99091363,,,
1267.4642,0,0,0.99188262,,,
1267.5626,0,0,0.99286969,,,
1267.6609,0,0,0.99385696,,,
1267.7592,0,0,0.99334747,,,
1267.8575,0,0,0.99184965,,,
1267.9558,0,0,0.99035145,,,
1268.0541,0,0,0.99028425,,,
1268.1524,0,0,0.99463257,,,
1268.2507,0,0,0.99898184,,,
1268.349,0,0,1.0033321,,,
1268.4473,0,0,0.99877207,,,
1268.5456,0,0,0.99412397,,,
1268.644,0,0,0.98947478,,,
1268.7423,0,0,0.97939478,,,
1268.8406,0,0,0.96616094,,,
1268.9389,0,0,0.95292407,,,
1269.0372,0,0,0.94683548,,,
1269.1355,0,0,0.95946439,,,
1269.2338,0,0,0.97209613,,,
1269.3321,0,0,0.9847307,,,
1269.4304,0,0,0.98791449,,,
1269.5287,0,0,0.99027834,,,
1269.627,0,0,0.99264269,,,
1269.7254,0,0,0.99053438,,,
1269.8237,0.964398,0.13735078,0.98494711,,,
1269.922,1.09996,0.1461793,0.97935855,,,
1270.0203,1.13313,0.14770567,0.9750028,,,
1270.1186,1.06347,0.14436505,0.97539581,,,
1270.2169,0.971708,0.13949023,0.97578888,,,
1270.3152,1.04046,0.14320476,0.97618201,,,
1270.4135,0.971616,0.13893961,0.96997697,,,
1270.5118,1.05038,0.1433844,0.96260542,,,
1270.6101,0.914158,0.13644415,0.95523219,,,
1270.7084,0.947217,0.13835488,0.95721122,,,
1270.8067,0.913937,0.13631255,0.96883518,,,
1270.9051,0.754386,0.12748557,0.98046174,,,
1271.0034,0.845725,0.13286695,0.9910889,,,
1271.1017,0.992554,0.14063746,0.99535557,,,
1271.2,1.0268,0.14259966,0.99962318,,,
1271.2983,0.924722,0.13684354,1.0038917,,,
1271.3966,1.04009,0.14315403,1.0044573,,,
1271.4949,0.823537,0.13157142,1.0039766,,,
1271.5932,0.959734,0.13896541,1.0034958,,,
1271.6915,1.0962,0.14629588,1.0018177,,,
1271.7898,1.0025,0.14129133,0.99850055,,,
1271.8881,1.00305,0.14121637,0.99518261,,,
1271.9865,1.05997,0.1440188,0.99292462,,,
1272.0848,0.927525,0.13753979,0.99593149,,,
