WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1121.3028,1.24566,0.39354572,1.0284286,,,
1121.4011,0.669797,0.35922044,1.028422,,,
1121.4994,1.06215,0.38279109,1.0284154,,,
1121.5977,1.09846,0.38592941,1.0284087,,,
1121.696,0.953925,0.38140085,1.0284019,,,
1121.7943,0.726614,0.3645095,1.0286113,,,
1121.8926,0.965365,0.37674866,1.029278,,,
1121.9909,0.746751,0.36030293,1.0299449,,,
1122.0892,0.664963,0.35488189,1.030612,,,
1122.1875,0.645068,0.35398292,1.0312792,,,
1122.2858,0.782629,0.36279665,1.0319466,,,
1122.3841,0.649824,0.35250271,1.0322306,,,
1122.4824,0.698457,0.35717423,1.0323684,,,
1122.5806,0.59407,0.35187591,1.0325062,,,
1122.6789,0.774611,0.36034336,1.032644,,,
1122.7772,0.752828,0.36123501,1.0327818,,,
1122.8755,1.21881,0.38975951,1.0309775,,,
1122.9738,1.04866,0.37723189,1.0160213,,,
1123.0721,0.937311,0.36950741,1.0010603,,,
1123.1704,0.81353,0.35750168,0.98609444,,,
1123.2687,1.23668,0.38288243,0.97112375,,,
1123.367,0.889134,0.36791621,0.95614823,,,
1123.4653,1.16153,0.38016792,0.92693811,,,
1123.5636,0.824363,0.35768465,0.88519591,,,
1123.6619,1.29236,0.38055649,0.84344035,,,
1123.7602,1.26304,0.37807022,0.80167143,,,
1123.8585,1.03489,0.36574318,0.75988916,,,
1123.9568,1.14975,0.37157208,0.71809353,,,
1124.0551,1.13759,0.37214741,0.73860372,,,
1124.1534,1.13793,0.37126767,0.76343904,,,
1124.2517,0.879911,0.35537509,0.78828223,,,
1124.3499,0.631667,0.34119425,0.81313328,,,
1124.4482,1.10262,0.37000175,0.83799221,,,
1124.5465,1.00149,0.3620575,0.85311952,,,
1124.6448,0.78725,0.34812329,0.83703856,,,
1124.7431,1.16696,0.36883257,0.82095244,,,
1124.8414,0.814624,0.34806239,0.80486116,,,
1124.9397,0.942581,0.35531197,0.78876471,,,
1125.038,0.675326,0.33915119,0.77266311,,,
1125.1363,0.993488,0.35792219,0.78618306,,,
1125.2346,1.16667,0.36741581,0.81629476,,,
1125.3329,1.02236,0.35856579,0.84641598,,,
1125.4312,0.813713,0.34557025,0.87654674,,,
1125.5295,1.01055,0.35646989,0.90668702,,,
1125.6278,1.02553,0.35722311,0.93601289,,,
1125.7261,0.735081,0.3399311,0.94810441,,,
1125.8244,1.19178,0.36555534,0.96019972,,,
1125.9227,1.40316,0.37787935,0.97229882,,,
1126.021,0.969464,0.35320902,0.98440171,,,
1126.1192,0.894258,0.34688003,0.99650839,,,
1126.2175,1.1861,0.36236497,1.0030097,,,
1126.3158,1.15757,0.36065386,1.0026248,,,
1126.4141,1.17957,0.36042524,1.0022397,,,
1126.5124,1.07573,0.35531034,1.0018545,,,
1126.6107,0.908252,0.3451977,1.001469,,,
1126.709,0.765551,0.33698634,1.0010834,,,
1126.8073,0.88364,0.34474608,1.0015764,,,
1126.9056,0.793122,0.33811368,1.0022221,,,
1127.0039,1.03475,0.35130686,1.0028679,,,
1127.1022,0.925924,0.34445797,1.0035138,,,
1127.2005,1.01971,0.34871415,1.0041599,,,
1127.2988,0.845734,0.33832629,1.0018134,,,
1127.3971,0.916898,0.34277526,0.99079517,,,
1127.4954,0.684094,0.32908508,0.97977344,,,
1127.5937,0.325978,0.31261648,0.96874817,,,
1127.692,0.75604,0.34344325,0.95771936,,,
1127.7903,0.652223,0.33707136,0.94668701,,,
1127.8885,0.370849,0.31681688,0.91696451,,,
1127.9868,0.696111,0.33370147,0.87243036,,,
1128.0851,0.870645,0.33709068,0.82788206,,,
1128.1834,0.913499,0.33927489,0.78331964,,,
1128.2817,0.530242,0.316436,0.73874308,,,
1128.38,0.744033,0.32864671,0.69415239,,,
1128.4783,0.697173,0.32515616,0.68988441,,,
1128.5766,0.622025,0.3207752,0.68718535,,,
1128.6749,0.456926,0.31063728,0.68448541,,,
1128.7732,0.790536,0.33008697,0.68178457,,,
1128.8715,0.665538,0.32205642,0.67908285,,,
1128.9698,0.547125,0.3149043,0.69442491,,,
1129.0681,0.311369,0.3000502,0.74106243,,,
1129.1664,0.407477,0.30568572,0.78771464,,,
1129.2647,0.622988,0.31848975,0.83438153,,,
1129.363,0.436068,0.30689127,0.88106311,,,
1129.4613,0.696834,0.32250695,0.92775938,,,
1129.5596,0.64937,0.31918941,0.94373989,,,
1129.6578,0.741208,0.32490556,0.94448027,,,
1129.7561,0.975826,0.33733756,0.94522083,,,
1129.8544,0.857346,0.33071687,0.94596157,,,
1129.9527,0.859285,0.33039343,0.9467025,,,
1130.051,0.721952,0.32175326,0.94567131,,,
1130.1493,1.09775,0.34225131,0.9216904,,,
1130.2476,0.950158,0.33437559,0.89770188,,,
1130.3459,1.08697,0.34111639,0.87370576,,,
1130.4442,1.18067,0.34665735,0.84970203,,,
1130.5425,1.39657,0.35760367,0.8256907,,,
1130.6408,0.853538,0.32713505,0.82124816,,,
1130.7391,1.04557,0.33764368,0.84952712,,,
