WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1265.468492,0.00E+00,0.00E+00,1.00863871,,,
1265.566723,0.00E+00,0.00E+00,1.00712136,,,
1265.664953,0.00E+00,0.00E+00,1.00560385,,,
1265.763184,0.00E+00,0.00E+00,1.00394117,,,
1265.861415,0.00E+00,0.00E+00,1.0019943,,,
1265.959646,0.00E+00,0.00E+00,1.00004722,,,
1266.057876,0.00E+00,0.00E+00,0.99809994,,,
1266.156107,0.00E+00,0.00E+00,0.99734898,,,
1266.254338,0.00E+00,0.00E+00,0.99662512,,,
1266.352568,0.00E+00,0.00E+00,0.99590118,,,
1266.450799,0.00E+00,0.00E+00,0.9969062,,,
1266.54903,0.00E+00,0.00E+00,0.99858143,,,
1266.647261,0.00E+00,0.00E+00,1.00025682,,,
1266.745491,0.00E+00,0.00E+00,1.00343675,,,
1266.843722,0.00E+00,0.00E+00,1.00927188,,,
1266.941953,0.00E+00,0.00E+00,1.0151076,,,
1267.040183,0.00E+00,0.00E+00,1.02093705,,,
1267.138414,0.00E+00,0.00E+00,1.0221129,,,
1267.236645,0.00E+00,0.00E+00,1.02328885,,,
1267.334876,0.00E+00,0.00E+00,1.02446492,,,
1267.433106,0.00E+00,0.00E+00,1.02494815,,,
1267.531337,0.00E+00,0.00E+00,1.02504579,,,
1267.629568,0.00E+00,0.00E+00,1.02514343,,,
1267.727798,0.00E+00,0.00E+00,1.0249052,,,
1267.826029,0.00E+00,0.00E+00,1.02381796,,,
1267.92426,0.00E+00,0.00E+00,1.0227306,,,
1268.022491,0.00E+00,0.00E+00,1.02164312,,,
1268.120721,0.00E+00,0.00E+00,1.02461567,,,
1268.218952,0.00E+00,0.00E+00,1.02792603,,,
1268.317183,0.00E+00,0.00E+00,1.03123671,,,
1268.415413,0.00E+00,0.00E+00,1.03029988,,,
1268.513644,0.00E+00,0.00E+00,1.02723411,,,
1268.611875,7.32E-01,5.65E-02,1.02416802,,,
1268.710106,1.00E+00,6.73E-02,1.01990036,,,
1268.808336,1.06E+00,6.88E-02,1.01290684,,,
1268.906567,1.07E+00,6.89E-02,1.00591261,,,
1269.004798,1.02E+00,6.77E-02,0.99891766,,,
1269.103028,9.84E-01,6.68E-02,1.00496428,,,
1269.201259,1.08E+00,6.93E-02,1.01174233,,,
1269.29949,9.98E-01,6.72E-02,1.01852106,,,
1269.397721,9.52E-01,6.59E-02,1.02097446,,,
1269.495951,1.03E+00,6.80E-02,1.02039618,,,
1269.594182,1.00E+00,6.74E-02,1.01981783,,,
1269.692413,8.20E-01,6.22E-02,1.01817322,,,
1269.790644,7.82E-01,6.10E-02,1.01291234,,,
1269.888874,9.62E-01,6.62E-02,1.0076509,,,
1269.987105,1.07E+00,6.91E-02,1.00238893,,,
1270.085336,1.08E+00,6.94E-02,1.0025322,,,
1270.183566,9.94E-01,6.70E-02,1.00349238,,,
1270.281797,9.21E-01,6.49E-02,1.00445265,,,
1270.380028,9.55E-01,6.59E-02,1.00163186,,,
1270.478259,9.74E-01,6.65E-02,0.99517389,,,
1270.576489,9.62E-01,6.62E-02,0.98871527,,,
1270.67472,9.80E-01,6.68E-02,0.98476024,,,
1270.772951,8.79E-01,6.39E-02,0.99505187,,,
1270.871181,9.72E-01,6.65E-02,1.00534453,,,
1270.969412,1.01E+00,6.76E-02,1.01563822,,,
1271.067643,1.12E+00,7.03E-02,1.02083309,,,
1271.165874,1.05E+00,6.85E-02,1.02467693,,,
1271.264104,2.27E-01,3.16E-02,1.02852115,,,
1271.362335,1.07E-01,2.19E-02,1.03059738,,,
1271.460566,1.05E+00,6.87E-02,1.0303441,,,
1271.558796,1.01E+00,6.75E-02,1.03009078,,,
1271.657027,9.17E-01,6.50E-02,1.02972156,,,
1271.755258,9.67E-01,6.64E-02,1.02784271,,,
1271.853489,9.53E-01,6.60E-02,1.02596366,,,
1271.951719,1.10E+00,6.04E-02,1.02408441,,,
1272.04995,1.07E+00,5.20E-02,1.02445039,,,
1272.148181,1.03E+00,5.12E-02,1.02532884,,,
1272.246411,1.12E+00,5.30E-02,1.02620736,,,
1272.344642,1.05E+00,5.17E-02,1.02458414,,,
1272.442873,1.03E+00,5.12E-02,1.01835618,,,
1272.541104,9.45E-01,4.95E-02,1.01212759,,,
1272.639334,1.04E+00,5.14E-02,1.00692351,,,
1272.737565,1.06E+00,5.19E-02,1.01148815,,,
1272.835796,1.03E+00,5.13E-02,1.01605324,,,
1272.934026,1.04E+00,5.16E-02,1.02061879,,,
1273.032257,8.47E-01,4.74E-02,1.01816748,,,
1273.130488,9.58E-01,4.98E-02,1.01319851,,,
1273.228719,9.02E-01,4.86E-02,1.00822903,,,
1273.326949,1.01E+00,5.08E-02,1.00102314,,,
1273.42518,9.55E-01,4.98E-02,0.99010174,,,
1273.523411,9.12E-01,4.89E-02,0.97917923,,,
1273.621641,1.03E+00,5.12E-02,0.96866937,,,
1273.719872,9.29E-01,4.92E-02,0.9824332,,,
1273.818103,1.02E+00,5.11E-02,0.9961984,,,
1273.916334,9.42E-01,4.95E-02,1.00996498,,,
1274.014564,9.81E-01,5.03E-02,1.01707082,,,
1274.112795,9.73E-01,5.02E-02,1.02071095,,,
1274.211026,9.07E-01,4.88E-02,1.02435143,,,
1274.309256,1.06E+00,5.19E-02,1.02740833,,,
1274.407487,9.88E-01,5.05E-02,1.0290868,,,
1274.505718,1.05E+00,5.21E-02,1.03076544,,,
1274.603949,1.00E+00,6.47E-02,1.03244423,,,
1274.702179,1.02E+00,6.64E-02,1.03291567,,,
1274.80041,1.04E+00,5.16E-02,1.03330809,,,
1274.898641,1.07E+00,5.21E-02,1.03370053,,,
1274.996872,9.43E-01,4.95E-02,1.03399388,,,
1275.095102,9.81E-01,5.03E-02,1.03421534,,,
1275.193333,1.00E+00,5.08E-02,1.03443681,,,
1275.291564,9.94E-01,5.07E-02,1.03450542,,,
1275.389794,1.04E+00,5.16E-02,1.03342498,,,
1275.488025,9.90E-01,5.06E-02,1.03234442,,,
1275.586256,9.96E-01,5.07E-02,1.03126374,,,
1275.684487,1.02E+00,5.13E-02,1.02843939,,,
1275.782717,1.12E+00,5.31E-02,1.02505937,,,
1275.880948,9.80E-01,5.04E-02,1.021679,,,
1275.979179,9.69E-01,5.02E-02,1.02055858,,,
1276.077409,9.19E-01,4.91E-02,1.02283657,,,
1276.17564,1.01E+00,5.10E-02,1.02511479,,,
