WAVE,FLUX,ERR,CONT,Z,Transition,SplineRanges
1316.1841,0.957113,0.085754609,0.91181616,,,
1316.2823,1.03086,0.088060323,0.91406831,,,
1316.3805,0.908802,0.084260601,0.92685178,,,
1316.4787,0.945023,0.08549646,0.93963681,,,
1316.5769,0.951991,0.085574831,0.95242339,,,
1316.6751,1.00612,0.087218626,0.95129479,,,
1316.7734,0.91719,0.084416241,0.94972333,,,
1316.8716,0.915412,0.08450579,0.94815168,,,
1316.9698,1.08026,0.091577505,0.94614145,,,
1317.068,1.06093,0.091459212,0.94370356,,,
1317.1662,0.996971,0.089223567,0.94126535,,,
1317.2644,0.956859,0.088420609,0.93911646,,,
1317.3626,0.957959,0.087459543,0.94315062,,,
1317.4608,0.986075,0.087410787,0.94718527,,,
1317.559,0.908722,0.084171945,0.95122039,,,
1317.6572,0.932373,0.085003793,0.95144779,,,
1317.7555,0.90562,0.084064997,0.94895291,,,
1317.8537,1.03701,0.088037685,0.94645771,,,
1317.9519,1.04066,0.08826919,0.94329079,,,
1318.0501,1.00831,0.08718487,0.93527165,,,
1318.1483,1.03596,0.087993297,0.92725152,,,
1318.2465,0.959505,0.085492051,0.91923039,,,
1318.3447,0.840694,0.081939814,0.91278117,,,
1318.4429,1.09158,0.089659147,0.90758318,,,
1318.5411,0.99232,0.086702339,0.90238453,,,
1318.6394,1.05247,0.088654005,0.8990793,,,
1318.7376,1.03295,0.08784853,0.91377235,,,
1318.8358,0.917903,0.084445966,0.92846718,,,
1318.934,0.905464,0.083941205,0.94316379,,,
1319.0322,1.07119,0.089038694,0.93976689,,,
1319.1304,0.979897,0.086430592,0.92590599,,,
1319.2286,0.968597,0.086016779,0.91204339,,,
1319.3268,0.942947,0.085214276,0.90086266,,,
1319.425,0.950889,0.085572119,0.90271013,,,
1319.5233,0.963561,0.085975201,0.90455781,,,
1319.6215,0.983397,0.086663913,0.9064057,,,
1319.7197,1.02564,0.087762863,0.91453884,,,
1319.8179,0.905758,0.083929113,0.92525019,,,
1319.9161,0.874316,0.083093722,0.93596284,,,
1320.0143,0.966375,0.086008388,0.94348468,,,
1320.1125,0.937995,0.085137878,0.93228829,,,
1320.2107,1.03266,0.087992569,0.92109053,,,
1320.3089,0.970093,0.086217707,0.90989139,,,
1320.4072,1.0454,0.088982677,0.9101911,,,
1320.5054,1.02753,0.091526207,0.91580168,,,
1320.6036,0.941629,0.088719239,0.92141292,,,
1320.7018,1.06323,0.092983367,0.92694925,,,
1320.8,0.995991,0.09106961,0.93222017,,,
1320.8982,0.883334,0.085478931,0.93749172,,,
1320.9964,0.96887,0.086758766,0.9427639,,,
1321.0946,0.853519,0.082552278,0.92703932,,,
1321.1928,0.812045,0.081267503,0.90466982,,,
1321.291,0.946166,0.085555925,0.8822976,,,
1321.3893,0.820817,0.081366512,0.87319428,,,
1321.4875,0.96227,0.085843851,0.89534331,,,
1321.5857,1.06935,0.089251875,0.91749501,,,
1321.6839,0.98661,0.086653115,0.9396494,,,
1321.7821,1.02133,0.087953488,0.94740164,,,
1321.8803,1.00949,0.087643642,0.94994948,,,
1321.9785,0.89916,0.08419289,0.95249762,,,
1322.0767,1.02037,0.087870031,0.95430145,,,
1322.1749,1.01547,0.087767619,0.95410981,,,
1322.2732,1.07793,0.089527863,0.95391813,,,
1322.3714,0.892001,0.083803635,0.95372642,,,
1322.4696,0.955199,0.085877033,0.95164158,,,
1322.5678,1.04788,0.088759011,0.94911281,,,
1322.666,0.933681,0.085144316,0.94658373,,,
1322.7642,1.01582,0.087789691,0.94160863,,,
1322.8624,0.950872,0.085900199,0.92916191,,,
1322.9606,0.871824,0.083309288,0.91671367,,,
1323.0588,0.975567,0.086578057,0.9042639,,,
1323.1571,0.87658,0.083444033,0.91112982,,,
1323.2553,0.915961,0.084618338,0.92328621,,,
1323.3535,0.875718,0.083304546,0.93544406,,,
1323.4517,1.00137,0.087113571,0.94272874,,,
1323.5499,0.878613,0.083298111,0.93975952,,,
1323.6481,0.766532,0.079596028,0.93678992,,,
1323.7463,0.677825,0.076579543,0.93381995,,,
1323.8445,0.92103,0.084772335,0.9341109,,,
1323.9427,0.757566,0.079481143,0.93493007,,,
1324.041,0.746064,0.078939266,0.93574934,,,
1324.1392,0.827444,0.081725621,0.93173771,,,
1324.2374,0.753144,0.079324092,0.9162958,,,
1324.3356,0.85297,0.082691193,0.900852,,,
1324.4338,0.980002,0.086749714,0.88540632,,,
1324.532,0.772873,0.079987905,0.88536266,,,
1324.6302,0.923435,0.084891746,0.88835167,,,
1324.7284,0.861472,0.083081044,0.89134103,,,
1324.8266,0.901034,0.084247691,0.89757972,,,
1324.9249,0.876186,0.083392479,0.90928837,,,
1325.0231,0.892131,0.083910997,0.92099842,,,
1325.1213,1.00753,0.088131489,0.93270987,,,
1325.2195,1.05275,0.091640947,0.93590471,,,
1325.3177,0.911365,0.087357188,0.93709096,,,
1325.4159,0.966319,0.089102943,0.93827733,,,
1325.5141,0.933732,0.087956196,0.9347501,,,
1325.6123,0.943428,0.086782017,0.92237397,,,
