WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1117.7803,0.94025448,0.11133684,1.2025113,,,
1117.8782,1.0063291,0.11390944,1.2130508,,,
1117.9761,1.1228391,0.11875331,1.2235918,,,
1118.074,1.1137944,0.11878988,1.2341344,,,
1118.1719,1.1291646,0.12301573,1.2446784,,,
1118.2698,1.2377287,0.12848426,1.255224,,,
1118.3677,1.0017993,0.11775347,1.2597301,,,
1118.4656,1.1700015,0.12426323,1.2600163,,,
1118.5635,1.23096,0.12260596,1.2603025,,,
1118.6614,1.2155318,0.12038342,1.2605887,,,
1118.7593,1.2239322,0.12201718,1.2608749,,,
1118.8572,1.3798647,0.12623352,1.2611611,,,
1118.9551,1.2655479,0.12148544,1.2508849,,,
1119.053,1.3361112,0.12258306,1.240297,,,
1119.1509,1.2305358,0.11885703,1.2297076,,,
1119.2488,1.273147,0.11992744,1.2191165,,,
1119.3467,1.2959964,0.12046572,1.2085239,,,
1119.4446,1.2951718,0.121868,1.2028906,,,
1119.5425,1.2388353,0.11934015,1.2063497,,,
1119.6404,1.0840775,0.11316218,1.2098094,,,
1119.7383,1.0259086,0.11103912,1.2132695,,,
1119.8362,1.1109327,0.11629349,1.2167302,,,
1119.9341,1.0746886,0.11390319,1.2201913,,,
1120.032,1.3299736,0.12056101,1.2186159,,,
1120.1299,1.2680925,0.11851673,1.2160664,,,
1120.2278,1.2626992,0.11802467,1.2135165,,,
1120.3257,1.1799823,0.11568634,1.2109663,,,
1120.4236,1.2804452,0.12012613,1.2084156,,,
1120.5215,1.0950966,0.11461948,1.2047931,,,
1120.6194,1.3458279,0.12406365,1.1973599,,,
1120.7173,1.3792557,0.12310928,1.1899257,,,
1120.8152,1.4150538,0.12222527,1.1824903,,,
1120.9131,1.1249394,0.11237619,1.1750539,,,
1121.011,1.054204,0.10983566,1.1676163,,,
1121.1089,1.3423891,0.11960825,1.1654621,,,
1121.2068,1.2327606,0.11644638,1.1668157,,,
1121.3047,1.2563593,0.11723552,1.1681694,,,
1121.4026,0.99581042,0.10923663,1.1695234,,,
1121.5005,1.1040704,0.11168055,1.1708775,,,
1121.5984,1.0711267,0.10987568,1.1722317,,,
1121.6963,1.0870912,0.11013655,1.1744245,,,
1121.7942,0.95396324,0.1052447,1.1766314,,,
1121.8921,0.83689053,0.10104575,1.1788386,,,
1121.99,0.64414091,0.09297085,1.1810461,,,
1122.0879,0.65017937,0.09422156,1.1832539,,,
1122.1858,0.6122483,0.094124496,1.1864593,,,
1122.2837,0.50696036,0.088367283,1.1913983,,,
1122.3816,0.56931856,0.090189635,1.196338,,,
1122.4795,0.68222251,0.094216725,1.2012784,,,
1122.5774,0.88564553,0.10218223,1.2062195,,,
1122.6753,0.93273795,0.10361219,1.2111613,,,
1122.7732,0.77759684,0.097576806,1.1981264,,,
1122.8711,0.91840838,0.10351278,1.1790347,,,
1122.969,0.96184239,0.10688599,1.1599403,,,
1123.0669,0.84547454,0.10304517,1.140843,,,
1123.1648,1.0230638,0.11017008,1.1217429,,,
1123.2627,1.1317247,0.11326521,1.0989778,,,
1123.3606,1.1402046,0.11247946,1.0516064,,,
1123.4585,1.1102442,0.10913859,1.0042282,,,
1123.5564,1.3770361,0.11729288,0.95684314,,,
1123.6543,1.2617504,0.11358555,0.90945116,,,
1123.7522,1.1328518,0.10956775,0.86205229,,,
1123.8501,1.1814765,0.11112842,0.85443938,,,
1123.948,1.1260343,0.10914587,0.88489392,,,
1124.0459,1.2651817,0.11353628,0.91535286,,,
1124.1438,1.2010838,0.11150457,0.94581619,,,
1124.2417,1.146353,0.10938971,0.97628392,,,
